land_cover_desc,land_cover_code,island_coverage,AGB_(Mg ha-1)_mean,AGB_(Mg ha-1)_SE,BGB_(Mg ha-1)_Mean,BGB_(Mg ha-1)_SE,Total_Ecosystem_(Mg ha-1)_Mean,Total_Ecosystem_(Mg ha-1)_SE,Uncertainty_percent
"Primary 
 Dryland 
 Forest",2001,"Bali Nusa Tenggara 
 ",280.45,11.69,81.33,3.39,361.78,12.17,6.60
"Primary 
 Dryland 
 Forest",2001,Java ,347.88,51.35,100.89,17.29,448.77,54.19,23.70
"Primary 
 Dryland 
 Forest",2001,Kalimantan,325.90,10.05,94.51,2.89,420.41,10.45,4.90
"Primary 
 Dryland 
 Forest",2001,Maluku,237.85,19.01,68.98,5.88,306.83,19.90,12.70
"Primary 
 Dryland 
 Forest",2001,Papua,268.57,9.12,77.88,2.63,346.45,9.49,5.40
"Primary 
 Dryland 
 Forest",2001,Sulawesi,248.28,7.44,72.00,2.14,320.28,7.74,4.70
"Primary 
 Dryland 
 Forest",2001,Sumatra,340.72,10.17,98.81,2.93,439.53,10.59,4.70
"Primary 
 Dryland 
 Forest",2001,Indonesia (Average),291.24,4.35,84.46,1.25,375.70,4.52,2.40
"Secondary 
 Dryland 
 Forest",2002,Bali Nusa Tenggara,138.73,7.09,40.23,2.11,178.96,7.40,8.10
"Secondary 
 Dryland 
 Forest",2002,Java,209.78,13.26,60.84,3.97,270.61,13.84,10.00
"Secondary 
 Dryland 
 Forest",2002,Kalimantan,222.91,4.48,64.64,1.32,287.55,4.67,3.20
"Secondary 
 Dryland 
 Forest",2002,Maluku,168.82,8.43,48.96,2.52,217.78,8.80,7.90
"Secondary 
 Dryland 
 Forest",2002,Papua,224.77,10.99,65.18,3.27,289.95,11.47,7.80
"Secondary 
 Dryland 
 Forest",2002,Sulawesi,166.12,5.46,48.17,1.62,214.29,5.69,5.20
"Secondary 
 Dryland 
 Forest",2002,Sumatra,221.45,6.20,64.22,1.84,285.67,6.47,4.40
"Secondary 
 Dryland 
 Forest",2002,Indonesia (Average),204.10,2.72,59.19,0.80,263.29,2.84,2.10
